job_title,normalized_title,job_description,completed_skills_list,llm_validated_skills_list,llm_removed_skills_list,llm_skill_reasons,recommended_skills_list,recommended_skill_source,llm_keep_rate
Graduate AI Software Engineer,AI Engineer,"Location: Melton, Woodbridge (Hybrid) Salary: Up to £35,000 (depending upon experience) Hybrid - office based Monday, Wednesday and Friday We are looking for a Graduate AI Software Engineer to join the team at X-on in Melton, Woodbridge. Within this role you will help build the infrastructure that powers our next generation of call experiences and data insight tools for our NHS customers. Responsibilities : Work within a small agile team to solve technical challenges, develop new functionality …","['nlp', 'azure', 'docker', 'fine-tuning', 'rag', 'aws', 'computer vision', 'gcp']","['nlp', 'azure', 'docker', 'fine-tuning', 'aws']","['computer vision', 'gcp', 'rag']",{},"['nlp', 'azure', 'docker', 'fine-tuning', 'aws', 'gcp']",llm_validated_with_rescue,0.625
"PhD AI Research Intern, 2026 Summer Canada",AI Engineer,"Working at Atlassian Atlassians have the flexibility to work where they can collaborate most effectively with their team, whether at home, one of our global offices, or both. As a distributed-first company, all interviews are conducted virtually. We hire in any country where we have a legal entity. Learn how we work at go.atlassian.com/distributed . Your Future Org Atlassian’s Intern program combines hands-on technical training, professional growth opportunities, dedicated mentorship, and stron…","['python', 'azure', 'aws', 'docker', 'gcp']","['python', 'docker']","['aws', 'azure', 'gcp']",{},"['python', 'docker']",llm_validated_with_rescue,0.4
Founding Applied AI Engineer,AI Engineer,"Founding Applied AI Engineer WilsonAI is building Cursor for lawyers - helping them review, negotiate, and manage contracts with unprecedented speed and accuracy. Weʼre backed by Nomad Ventures and Autopilot, and raised a $1.7M pre-seed round at the end of 2024. Since then, weʼve stabilised our product with early customers, beaten competitors in head-to-head pilots with teams of hundreds and $100Ms in revenue, and scaled via founder-led sales to multi–six-figure revenues - 50X growth since the …","['rag', 'computer vision', 'aws', 'azure']","['computer vision', 'aws']","['azure', 'rag']",{},"['computer vision', 'aws']",llm_validated_with_rescue,0.5
Data Scientist,Data Scientist,"Data Scientist Job Location: Ottawa, Ontario Location Flexibility: Primary Location Only Req Id: 4379 Posting Start Date: 2/10/26 Fujitsu Canada is seeking a full-time, permanent Data Scientist to support enterprise-scale Knowledge Management (KM) modernization projects for Employment and Social Development Canada (ESDC). This role focuses on AI/ML/NLP-driven transformation, semantic enrichment, and intelligent content migration aligned with federal compliance and innovation standards. Responsi…",['nlp'],[],[],{},['nlp'],original,0.0
CMS Senior Information Operations Planner (Engineer Network 4)- 27199,Data Engineer,"Requisition Number: 27199 Required Travel: 0 - 10% Employment Type: Full Time/Salaried/Exempt Anticipated Salary Range: $118,589.00 - $135,000.00 Security Clearance: TS/SCI Level of Experience: Senior HI This opportunity resides with All-Domain Operations (ADO), a business group within HII's Mission Technologies division. All-Domain Operations comprises multi-domain operations, platforms and logistics, and intelligence operations. HII designs, develops, integrates and manages the sensors, syste…",[],[],[],{},[],section9_not_llm_validated,
Senior Software Engineer - AI Eval & Safety,Software Engineer,About the Job Do you want to help shape the future of AI by building robust infrastructure and tools for developing trustworthy large language models and agentic workflows? We're seeking a software engineer who combines strong systems engineering skills with a passion for AI safety to develop frameworks that ensure AI systems behave reliably and align with human values. The OpenShift AI team is looking for a Senior Software Engineer with Kubernetes and MLOps or LLMOps experience to join our rap…,['kubernetes'],[],[],{},['kubernetes'],original,0.0
Senior MLOps Engineer,MLOps Engineer,"About the role We’re looking for an MLOps engineer who thrives in real-world robotics environments and can own the entire machine learning lifecycle—from data ingestion and labeling to training, evaluation, and performance monitoring. You’ll support a perception stack spanning 2D / 3D object detection, semantic and instance segmentation, depth estimation, and multi-sensor fusion across camera and lidar. This role is deeply cross-functional: you’ll work with perception engineers, autonomy engine…","['nlp', 'aws', 'python', 'hadoop', 'spark']","['aws', 'python']","['hadoop', 'nlp', 'spark']",{},"['aws', 'python']",llm_validated_with_rescue,0.4
AI Applications Solution Engineer - Brisbane,AI Engineer,"Overview Are you curious, passionate about AI and cloud technologies, and excited by the opportunity to solve complex challenges in a fast-paced environment? If so, we invite you to join Microsoft as a Cloud & AI Solution Engineer. We are hiring a AI Applications Solution Engineer for our Enterprise Commercial are in Brisbane. In this role, you'll be at the forefront of projects that harness the latest technologies to help customers modernize applications, adopt AI at scale, and transform their…","['azure', 'python', 'computer vision']","['azure', 'python', 'computer vision']",[],{},"['azure', 'python', 'computer vision']",llm_validated_with_rescue,1.0
NLP Engineer,NLP Engineer,"NLP Engineer Bright Vision Technologies is a forward-thinking software development company dedicated to building innovative solutions that help businesses automate and optimize their operations. We leverage cutting-edge natural language processing technologies to build scalable, accurate, and production-grade language intelligence systems. As we continue to grow, we’re looking for a skilled NLP Engineer to join our dynamic team and contribute to our mission of transforming business processes th…",['nlp'],[],[],{},['nlp'],original,0.0
Machine Learning Engineer (PhD Intern),Machine Learning Engineer,"We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …","['computer vision', 'r', 'rag', 'nlp']","['computer vision', 'r', 'nlp']",['rag'],{},"['computer vision', 'r', 'nlp']",llm_validated_with_rescue,0.75
Machine Learning Fellow - Human Frontier Collective (Canada),Machine Learning Engineer,"PLEASE NOTE: This is a fully remote, 1099 independent contractor opportunity with an estimated duration of six months and the potential for extension. To be eligible, candidates must be authorized to work in Canada. About the Program The Human Frontier Collective (HFC) Fellowship brings together top researchers and domain experts to collaborate on high-impact work that are shaping the future of AI. As an HFC Fellow, you’ll apply your academic and professional expertise to help design, evaluate,…","['python', 'nlp', 'gcp', 'r', 'rag']","['python', 'nlp', 'gcp', 'rag']",['r'],{},"['python', 'nlp', 'gcp', 'rag']",llm_validated_with_rescue,0.8
Data Scientist,Data Scientist,"Policy Expert – Data Scientist  Are you ready to transform the insurance industry? Policy Expert is a forward-thinking business that loves to get things done. Leveraging proprietary technology and smart data, we offer reliable products and a wow customer experience. Having achieved rapid growth since being founded in 2011, we’ve won over 1.5 million customers in Home, Motor and Pet insurance and have been ranked the UK’s No.1-rated home insurer by Review Centre since 2013.  Hear from our team a…","['aws', 'rag', 'azure', 'computer vision', 'nlp']","['aws', 'nlp']","['azure', 'computer vision', 'rag']",{},"['aws', 'nlp', 'rag']",llm_validated_with_rescue,0.4
Data Scientist,Data Scientist,"Data Scientist: Candidates need to travel to Europe once in a month (European country) We are seeking a highly skilled 12 years Data Scientist AI to design, develop, and deploy advanced machine learning and artificial intelligence solutions. The ideal candidate will work on large datasets, build predictive models, and collaborate cross-functionally to deliver scalable, data-driven products. Key Responsibilities Design, develop, and optimize machine learning and deep learning models. Work on AI/…","['aws', 'computer vision', 'nlp', 'python', 'r']","['aws', 'nlp', 'python']","['computer vision', 'r']",{},"['aws', 'nlp', 'python', 'r']",llm_validated_with_rescue,0.6
Product Design Lead,Product / Management,"About the company Asseti is the category-defining platform for asset intelligence and operations, used by some of the world’s largest real estate owners to understand their assets, optimize portfolio performance, and make smarter operational, maintenance, and capital decisions. We turn complex, fragmented asset information into a single source of truth - combining real-time condition insights with the operational context needed to prioritize work, manage risk, and drive efficient action across …",[],[],[],{},[],section9_not_llm_validated,
Data Science Intern - 2026,Data Scientist,"Blunomy is an international consulting firm, dedicated to accelerating the move towards a regenerative society that is decarbonised, circular and inclusive. We do this by partnering with those in the energy supply chain as well as financial institutions, businesses and entrepreneurs to ensure the transition of their resources from brown to green. We have been operating since 2007, previously trading as Enea Consulting, and continue to expand our international team of Blunomists. Our high perfor…","['r', 'python', 'gcp', 'nlp']","['python', 'gcp', 'nlp']",['r'],{},"['python', 'gcp', 'nlp', 'r']",llm_validated_with_rescue,0.75
Member of Technical Staff — Back-end Engineering (Systems),Software Engineer,"Product TensorZero is building an automated AI engineer (”TensorZero Autopilot”) powered by our open-source LLMOps platform (”TensorZero Stack”). TensorZero Stack We started by building an open-source LLMOps platform for full-stack LLM engineering: Gateway: access every LLM provider through a unified API ( Observability: monitor your LLM systems, programmatically or with a UI Optimization: optimize your prompts, models, and inference strategies Evaluations: benchmark individual inferences or en…","['aws', 'rag', 'python', 'r', 'spark']","['aws', 'python']","['r', 'rag', 'spark']",{},"['aws', 'python', 'rag']",llm_validated_with_rescue,0.4
Bioinformatics PhDs,Data Scientist,"This role is for one of our clients We are collaborating with leading AI research initiatives focused on applying artificial intelligence to complex scientific challenges in bioinformatics . The goal of this project is to build an advanced benchmark to evaluate AI model performance in executing complete bioinformatics workflows — from raw sequencing data to meaningful analysis, guided by natural language prompts. This work requires a combination of bioinformatics expertise , tool proficiency , …","['r', 'nlp', 'gcp', 'computer vision']","['r', 'nlp', 'gcp', 'computer vision']",[],{},"['r', 'nlp', 'gcp', 'computer vision']",llm_validated_with_rescue,1.0
Software Engineer,Software Engineer,"This is a Software Engineer role with Mercor based in Sydney, NSW, Australia  Mercor  Role Seniority - junior, mid level, senior More about the Software Engineer role at Mercor Mercor is hiring experienced Software Engineering professionals to support a variety of high-impact research collaborations with leading AI labs. Freelancers will help improve AI systems through work on code validation, prompt refinement, algorithmic evaluation, and model benchmarking. This is a unique opportunity to app…","['python', 'aws', 'kubernetes', 'nlp', 'openai']","['python', 'nlp', 'openai']","['aws', 'kubernetes']",{},"['python', 'nlp', 'openai']",llm_validated_with_rescue,0.6
Data Scientist,Data Scientist,"Life at UiPath The people at UiPath believe in the transformative power of automation to change how the world works. We’re committed to creating category-leading enterprise software that unleashes that power. To make that happen, we need people who are curious, self-propelled, generous, and genuine. People who love being part of a fast-moving, fast-thinking growth company. And people who care—about each other, about UiPath, and about our larger purpose. Could that be you? As we continue expandi…","['r', 'azure', 'gcp', 'computer vision', 'nlp']","['r', 'azure', 'gcp', 'computer vision', 'nlp']",[],{},"['r', 'azure', 'gcp', 'computer vision', 'nlp']",llm_validated_with_rescue,1.0
LLM Evaluation Engineer,LLM Engineer,"About the Company ThirdLaw is building the control layer for AI in the enterprise. As companies rush to adopt LLMs and AI agents, they face new safety, compliance, and operational risks that traditional observability tools were never designed to detect. Metrics like latency or cost don’t capture when a model makes a bad decision, leaks sensitive data, or behaves unpredictably. We help IT and Security teams answer the foundational question: ""Is this OK?""—and take real-time action when it’s not. …","['rag', 'spark', 'nlp']",['nlp'],"['rag', 'spark']",{},"['nlp', 'rag']",llm_validated_with_rescue,0.3333333333333333
AI Engineer,AI Engineer,"Job Description The Customer Success Services team needs an AI Engineer that can design, develop, configure, evaluate, monitor and optimize generative AI and agent solutions for Oracle applications, as well as develop innovative solutions to advance the CSS team's operational capabilities and effectiveness. The ideal candidate will create processes, tools, and tests so that CSS can evaluate and optimize AI responses on customer instances at scale. The candidate will develop monetizable services…","['computer vision', 'langchain', 'rag', 'fine-tuning', 'nlp', 'r']","['langchain', 'fine-tuning', 'nlp']","['computer vision', 'r', 'rag']",{},"['langchain', 'fine-tuning', 'nlp', 'rag']",llm_validated_with_rescue,0.5
Data Scientist,Data Scientist,"ABOUT THIS POSITION We are looking for an experienced Data Scientist. The data scientist role involves solving data-driven Healthcare problems using various machine learning and predictive modeling methods. This person will primarily work as part of the larger Data Science team interacting Product Management and Application teams to conduct analysis and experimentation to maximize the utility of predictive modeling and data driven strategies across Waystar. applying machine learning, predictive…","['aws', 'computer vision', 'nlp', 'r']","['aws', 'nlp', 'r']",['computer vision'],{},"['aws', 'nlp', 'r']",llm_validated_with_rescue,0.75
Caregiver Support Specialist - Expert | Upto $80/hr Hourly,Other,"About The Job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: Family-Support Professional Type: Part-time, project-based Compensation: $60–$80/hour Duration: 4–6 weeks Commitment: ~5 hours/week Role Responsibilities Review caregiver- and family-support content for clarity, accuracy, and practical usefuln…",[],[],[],{},[],section9_not_llm_validated,
Senior GenAI Architect - Internal Projects & Efficiency,Solutions Architect,"in-tech ist ein digitaler Lösungsanbieter für Automotive, Rail und Smart Industry. Als strategischer Entwicklungspartner begleiten wir unsere Kunden durch den gesamten Entwicklungsprozess - von Einzelkomponenten bis hin zu Komplettlösungen aus Hard- u. Software. Wir sind Ingenieure, Softwareentwickler, Techniker und Quereinsteiger allgenders und arbeiten an der Mobilität der Zukunft. Wir sind orange! Du auch? Das sind deine Aufgaben Konzeption und Umsetzung von AI-/GenAI-/Agentic-AI-Architektur…","['azure', 'python', 'openai', 'r', 'spark', 'fine-tuning', 'rag']","['azure', 'python', 'openai', 'fine-tuning']","['r', 'rag', 'spark']",{},"['azure', 'python', 'openai', 'fine-tuning', 'rag']",llm_validated_with_rescue,0.5714285714285714
Python Coding Specialist - Freelance AI Trainer Project,AI Engineer,"Are you a coding expert fluent in Python eager to shape the future of AI? Large‑scale language models are evolving from clever chatbots into powerful engines of scientific discovery. With high‑quality training data, tomorrow’s AI can democratize world‑class education, keep pace with cutting‑edge research, and streamline software development for engineers everywhere. That training data begins with you—we need your expertise to help power the next generation of AI. We’re looking for Python coding…",['python'],[],[],{},['python'],original,0.0
AI Prompt Engineer,LLM Engineer,"Full-Time MCI is one of the fastest-growing tech-enabled business services companies in the USA, with a strong call center footprint and operations that extend across multiple countries. We deliver Customer Experience (CX), Business Process Outsourcing (BPO), and Anything-as-a-Service (XaaS) cloud technology solutions across a wide range of industries, including healthcare, retail, government, education, telecom, technology e-commerce, and financial services. Our contact centers are powered by …","['python', 'spark', 'rag']","['python', 'rag']",['spark'],{},"['python', 'rag']",llm_validated_with_rescue,0.6666666666666666
ISS (Educational Technologist),Software Engineer,"Who May Apply: Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. See Proof of Eligibility for an extensive list of document requirements for all employment authorities. Current Competitive Service Department of Defense Education Activity (DoDEA) Civilian Employee Current Excepted Service Department of Defense Education Activity (DoDEA) Employee Current Excepted Service Department of Defense Employee Current Permanent Department of Defense (DoD) Civilian Employee In order to qualify, you must meet the Education and Experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Minimum Education Requirement: The course work must have been completed at or accepted by a regionally accredited U.S. college or university. ISS positions must meet the following three criteria: (1) Minimum Education Requirement, (2) Specialized Experience Requirement, (3) Professional Licensure Requirement. (1) Minimum Education Requirement: A minimum of a Master's degree in the field of Education is required. Graduate or undergraduate course work must include a minimum of 24 semester hours of education technology, specific to instructional technology. Such courses include instructional design, online or distance learning, integration of technology into curriculum including assistive technology, assessment and planning for technology, professional learning and development and technology leadership in education. No more than 9 semester hours will be accepted in content areas such as STEM education, emerging technologies in education, augmented or virtual reality in education, artificial intelligence (AI), digital media and design, video communications, or media and gaming design. (2) Specialized Experience Requirement (5 years): Specialized experience is experience gained in teaching, educational research, development of educational materials and aids, educational testing, educational administration, or comparable activities in an elementary and/or secondary school, which has clearly demonstrated success in the application of principles, methods, and techniques of education and familiarity with current developments in PreK-12th grade education and training. This experience must include a minimum of 3 years of experience in the field of PreK-12 Educational Technology, in either a formal or informal role. Preferred consideration given to applicants that have completed coursework in the following content areas: 1.Learning theory, psychology of learning, educational psychology: Study of learning theories as they relate to the systematic design, development, and validation of instructional material. 2.Instructional design practices: Study of the principles and techniques used in designing training programs, developing design strategy and models, and applying design methods to the improvement of instructional effectiveness. 3.Educational evaluation: Study of the techniques for evaluating the effectiveness of instructional/educational programs, including developing written and performance tests and survey instruments, and determining reliability and validity of evaluation instruments. 4.Instructional product development: Study of the techniques appropriate for developing training materials, including identifying learner characteristics, specifying objectives, applying training strategy, validating training materials, and evaluating training. 5.Technology in education: Study of application of technology in teaching and learning. Includes the integration of technology in education, focusing on theories, practices, and methodologies to develop and implement effective digital learning. (3) Professional Licensure Requirement: None. A current and valid, unencumbered professional teaching licenses in Education Technology from any U.S. state, territory, or the National Board for Professional Teaching Standards (NBPTS) will be considered to have met the education content specific requirements. Information on DoDEA teaching categories and requirements is located at: https://www.dodea.edu/offices/human-resources/work-dodea/teaching-categories-and-requirements You will be evaluated on the basis of your level of competency in the following areas: Education Consultation, Coaching and Collaboration Leadership Partnering Staff and Faculty Development","['python', 'kubernetes', 'nlp']",['python'],"['kubernetes', 'nlp']",{},['python'],llm_validated_with_rescue,0.3333333333333333
Data Science Manager,Data Scientist,"Data Science Manager Location: London (Hybrid) | Practice Area: Data & Analytics | Type: Permanent Shape intelligent solutions. Lead with insight. Drive data innovation. The Role We’re looking for a Data Science Manager to lead innovative projects that apply data, AI, and machine learning to solve complex challenges across financial services. You’ll guide talented data professionals, collaborate closely with business stakeholders, and drive impactful, scalable solutions that deliver measurable …","['aws', 'python', 'rag']","['aws', 'python']",['rag'],{},"['aws', 'python']",llm_validated_with_rescue,0.6666666666666666
"Machine Learning Engineer II, Logistics AI",Machine Learning Engineer,"We're transforming the grocery industry At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simple need for grocery delivery, we see exciting complexity and endless opportunity to serve the varied needs of our community. We work to deliver an essential service that customers rely on to get their groceries and household goods, while also offering safe and flexible …","['rag', 'r', 'computer vision', 'nlp', 'kubernetes']","['computer vision', 'nlp', 'kubernetes']","['r', 'rag']",{},"['computer vision', 'nlp', 'kubernetes']",llm_validated_with_rescue,0.6
"Senior AI Engineer, Device Intelligence",AI Engineer,"Bring more to life. At Danaher, our work saves lives. And each of us plays a part. Fueled by our culture of continuous improvement, we turn ideas into impact – innovating at the speed of life. Our 63,000 associates work across the globe at more than 15 unique businesses within life sciences, diagnostics, and biotechnology. Are you ready to accelerate your potential and make a real difference? At Danaher, you can build an incredible career at a leading science and technology company, where we’re…","['r', 'rag']","['r', 'rag']",[],{},"['r', 'rag']",llm_validated_with_rescue,1.0
Lead AI/ML Engineer (NLP) - Remote,NLP Engineer,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us ad…",['nlp'],[],[],{},['nlp'],original,0.0
"Data Scientist, Analytics & Insights",Data Scientist,"Position: Data Scientist, Analytics & Insights Reports to: Director, Data Intelligence Position Term: Full Time Permanent Primary Location: Mississauga, Ontario, Canada Workplace Type: Hybrid Job Purpose The Data Scientist, Analytics & Insights is responsible for discovering insights and identifying opportunities to optimize experiences and help guide and inform key business decisions using statistical, algorithmic, mining and visualization techniques. In addition to advanced analytic skills, t…","['r', 'nlp', 'python']","['r', 'python']",['nlp'],{},"['r', 'python']",llm_validated_with_rescue,0.6666666666666666
Data Scientist,Data Scientist,"About Lendable Lendable is on a mission to build the world's best technology to help people get credit and save money. We're building one of the world’s leading fintech companies and are off to a strong start: One of the UK’s newest unicorns with a team of just over 700 people Among the fastest-growing tech companies in the UK Profitable since 2017 Backed by top investors including Balderton Capital and Goldman Sachs Loved by customers with the best reviews in the market (4.9 across 10,000s of …","['r', 'python', 'nlp', 'computer vision']","['python', 'nlp', 'computer vision']",['r'],{},"['python', 'nlp', 'computer vision', 'r']",llm_validated_with_rescue,0.75
ML/LLM Operations Engineer,LLM Engineer,"Your Future Evolves Here Evolent partners with health plans and providers to achieve better outcomes for people with most complex and costly health conditions. Working across specialties and primary care, we seek to connect the pieces of fragmented health care system and ensure people get the same level of care and compassion we would want for our loved ones. Evolent employees enjoy work/life balance, the flexibility to suit their work to their lives, and autonomy they need to get things done. …","['rag', 'fine-tuning', 'transformers', 'python']","['transformers', 'python']","['fine-tuning', 'rag']",{},"['transformers', 'python', 'rag', 'fine-tuning']",llm_validated_with_rescue,0.5
Machine Learning Developer,Machine Learning Engineer,Machine Learning Developer (Contract) Based - Warwick Rate: £500-£600 per day I am working with Siemens Energy to find an experienced Machine Learning Developer to join their team in Warwick. This is a high-impact role for someone passionate about building and deploying production-ready ML solutions in a cutting-edge energy environment. About the Role Siemens Energy is driving the energy transition through innovative technologies and sustainable solutions. They are looking for a skilled ML deve…,"['python', 'r', 'azure', 'docker']","['python', 'azure', 'docker']",['r'],{},"['python', 'azure', 'docker']",llm_validated_with_rescue,0.75
Senior Lead AI-NLP Engineer,NLP Engineer,"NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Senior Lead AI-NLP Engineer to join our team in Irving, Texas (US-TX), United States (US). Do you find yourself seeking the next big challenge? Step into a role where you are responsible for managing to goals and expectations; one where you are able to see the finish line …",['nlp'],[],[],{},['nlp'],original,0.0
"AI Research Engineer (Junior career, Hybrid, Grand Prairie, Secret)",Research Scientist,"Job ID: 716486BR Date posted: Feb. 02, 2026 Description: Are you ready to join a team that's pushing the boundaries of Artificial Intelligence and making a real impact in the industry? The Lockheed Martin Artificial Intelligence Center (LAIC) team is seeking a highly motivated and experienced individual to support the Applied AI team and specifically the Cognitive Modules portfolio. As a key member of our team, you'll have the opportunity to work on a broad range of projects, from prototypes to…","['python', 'computer vision', 'r']","['python', 'computer vision', 'r']",[],{},"['python', 'computer vision', 'r']",llm_validated_with_rescue,1.0
"Director, MLOps (Canada)",MLOps Engineer,"Director, MLOps (Canada Segment) This is a pivotal opportunity to shape Canada's AI transformation through advanced MLOps capabilities. The Director will architect and operationalize solutions that enable scalable, reusable AI deployments across segments. This role offers the chance to set the vision for MLOps, influence enterprise architecture, and collaborate globally to accelerate innovation and measurable business impact. Position Responsibilities  Define and architect MLOps capabilities an…","['aws', 'python', 'docker', 'azure', 'mlflow', 'r', 'transformers']","['aws', 'python', 'docker', 'mlflow']","['azure', 'r', 'transformers']",{},"['aws', 'python', 'docker', 'mlflow', 'azure']",llm_validated_with_rescue,0.5714285714285714
Biomedical Data Scientist,Data Scientist,"We are looking for a Biomedical Data Scientist (or similar background). You will sit at the intersection of data science, clinical validation, and research management. The individual should be driven, detail oriented and highly motivated to succeed. As a small company, we all tend to get stuck in with different tasks. However, your primary focus will be managing the data pipeline from our clinical studies, developing algorithms in Python, and playing a crucial role in securing our future by man…",['python'],[],[],{},['python'],original,0.0
